c2_ip	first_seen	last_seen	protocol	port
104.227.235.12	2020/08/19	2020/10/19	TLS	443
199.188.103.123	2020/10/06	2020/12/07	TLS	443
23.106.215.21	2020/08/27	2020/10/20	TLS	443
192.227.248.173	2020/08/19	2020/11/22	TLS	443
146.70.87.120	2022/03/15	2022/03/15	TLS	443
107.172.30.141	2020/08/19	2020/08/26	TLS	443
67.219.150.12	2020/11/13	2020/11/13	TLS	443
107.173.28.8	2020/09/14	2020/12/11	TLS	443
198.23.202.30	2020/08/25	2020/10/08	TLS	443
37.72.168.191	2020/10/09	2020/12/24	TLS	443
23.227.202.105	2021/02/23	2021/02/23	TLS	443
64.188.24.116	2021/02/24	2021/05/10	TLS	443
51.89.62.52	2022/06/11	2022/11/03	TLS	443
172.106.111.83	2020/12/23	2021/05/06	TLS	443
199.188.103.125	2020/09/14	2021/02/20	TLS	443
149.255.35.25	2020/08/19	2020/08/24	TLS	443
192.210.213.111	2020/08/19	2020/12/11	TLS	443
107.175.172.129	2020/08/19	2020/08/27	TLS	443
192.99.184.203	2020/11/13	2021/04/01	TLS	443
52.57.98.106	2021/05/24	2021/08/28	TLS	443
194.15.113.178	2022/03/14	2022/04/11	TLS	443
172.87.222.3	2020/09/17	2021/02/23	TLS	443
96.8.118.110	2020/10/06	2021/01/20	TLS	443
104.232.98.19	2020/08/19	2020/08/19	TLS	443
193.34.167.204	2020/09/18	2021/02/21	TLS	443
185.236.202.238	2020/12/26	2021/06/08	TLS	443
108.177.235.10	2020/08/28	2020/10/23	TLS	443
107.152.213.117	2020/09/15	2021/01/17	TLS	443
149.3.170.210	2021/03/04	2021/03/04	TLS	443
89.249.66.40	2020/08/19	2020/08/19	TLS	443
45.128.156.27	2020/08/28	2020/10/22	TLS	443
23.82.141.50	2020/08/19	2020/11/12	TLS	443
23.81.246.107	2020/08/19	2020/09/18	TLS	443
104.168.59.110	2022/07/15	2022/07/15	TLS	443
103.15.29.59	2020/10/13	2021/03/05	TLS	443
104.143.37.18	2020/08/26	2020/09/16	TLS	443
194.187.249.114	2020/08/19	2020/08/19	TLS	443
172.93.165.49	2020/08/19	2020/09/17	TLS	443
46.105.47.128	2022/06/11	2022/06/11	TLS	443
23.227.202.208	2021/02/21	2021/05/06	TLS	443
107.173.28.12	2020/10/13	2020/10/21	TLS	443
149.56.200.203	2020/10/08	2020/10/22	TLS	443
108.177.235.244	2020/08/19	2020/12/09	TLS	443
204.12.225.21	2020/08/26	2021/01/07	TLS	443
103.16.229.232	2020/09/14	2020/11/25	TLS	443
94.23.96.74	2022/07/13	2022/11/03	TLS	443
62.182.84.203	2021/03/04	2021/03/04	TLS	443
45.89.110.139	2022/06/10	2022/06/10	TLS	443
107.172.221.134	2020/09/17	2020/11/22	TLS	443
